circRNA Name,Disease Name,Species,miRNA validated,miRNA predicted,miRNA target,RBP validated
has_circ_0012129,Glioma,Human,miR-761,,TGIF2,
hsa_circ_0061140,Bladder cancer,Human,miR-1236,,,
hsa_circ_0002360,Colorectal cancer,Human,miR-145-5p,,IGF1,
circRNA_101237,Non-small cell lung cancer,Human,miR-490-3p,,MAPK1,"Ago2, IgG"
hsa_circ_0043800,Hepatoblastoma,Human,"miR-29a-3p, miR-29b-3p, miR-29c-3p",,Gli2,Ago2
hsa_circ_0008928,Non-small cell lung cancer,Human,miR-326,,FSCN1,
circ-FARSA,Colorectal cancer,Human,miR-330-5p,,LASP1,
circ-MAT2B,Gastric cancer,Human,miR-515-5p,,HIF-1α,
hsa_circ_0003141,Hepatocellular carcinoma,Human,miR-1827,,UBAP2,
hsa_circ_0054537,Renal cell carcinoma,Human,miR-130a-3p,,cMet,
hsa_circ_0001742,Tongue squamous cell carcinoma,Human,miR-431,,ATF3,
hsa_circ_0000376,Breast cancer,Human,miR-1285-3p,,,
hsa_circ_0008532,Bladder cancer,Human,"miR-155-5p, miR-330-5p",,MTGR1,Ago2
hsa_circ_0007255,Bladder cancer,Human,miR-375/1231,,NOTCH2,Ago2
hsa_circ_0004771,Cervical cancer,Human,miR-629-3p,,PTP4A1,
hsa_circ_0000615,Nasopharyngeal cancer,Human,miR-338-3p,,FGF2,
hsa_circ_0000284,Asthma,Human,miR-326,,STIM1,Ago2
hsa_circ_0085131,Non-small cell lung cancer,Human,miR-654-5p,,ATG7,Ago2
hsa_circ_0000515,Breast cancer,Human,miR-296-5p,,CXCL10,
hsa_circ_0006404,Gastric carcinoma,Human,miR-143-3p,,USP44,Ago2
hsa-circRNA9102-5,Essential hypertension,Human,hsa-miR-150-5p,,,
hsa_circ_0001982,Breast cancer,Human,miR-140-5p,,E2F3,Ago2
circErbB4,Vascular disease,Human,miR-29a-5p,,AT2R,
hsa_circ_0018534,Non-small cell lung cancer,Human,miR-488-3p,,HIF-1α,
hsa_circ_0022812,Lung cancer,Human,miR-326,,GNB1,
hsa_circ_0003221,Gastric carcinoma,Human,miR‑139‑3p,,,IgG
circ_LPAR3,Esophageal squamous cell carcinoma,Human,miR-198,,MET,Ago2
circ_LARP4,Prostate cancer,Human,miR-424-5p,,LATS1,
circPRMT5,Papillary thyroid carcinoma,Human,miR-30c,,E2F3,"Ago2, IgG"
circCORO1C,Laryngeal squamous cell carcinoma,Human,let-7c-5p,,PBX3,Ago2
ciRS-126,Polycystic ovary syndrome,Human,miR-21,,PDCD4,
hsa_circ_0013509,Cardiovascular disease,Human,miR-124,,FGF-2,
circRNA_100782,Pancreatic ductal adenocarcinoma,Human,miR-124,,"IL6R, STAT3",
hsa_circ_0000064,Lung cancer,Human,,,,"caspase-3, caspase-9, bax, p21, CDK6, cyclin D1"
hsa_circ_0005105,Osteoarthritis,Human,miR-26a,,NAMPT,"MMP-13, ADAMTS-4, PGE2, IL-6, IL-8"
hsa_circ_0001982,Breast cancer,Human,miR-143,,,
circSCMH1,Acute ischemic stroke,Human,,,,MeCP2
hsa_circ_0043265,Non-small cell lung cancer,Human,miR-25-3p,,FOXP2,
hsa_circ_0007031,Osteosarcoma,Human,mir-30b,,Vimentin,AGO2
hsa_circ_0089762,Chronic lymphocytic leukemia,Human,,,,"AGO1, AGO2, FMRP"
hsa_circ_0000285,Thyroid cancer,Human,miR-599,,,
circ_0007142,Colorectal cancer,Human,miR-122-5p,,CDC25A,
circ-001971,Colorectal cancer,Human,miR-29c-3p,,VEGFA,"AGO2, IgG"
hsa_circ_0082002,Hepatocellular carcinoma,Human,miR-30-5p,,DPP4, 
circ_0001368,Renal cell carcinoma,Human,miR-492,,LATS2,
hsa_circ_0002375,Nasopharyngeal carcinoma,Human,miR-3198,,,
Circ_100565,Lung cancer,Human,miR-506-3p,,HMGA2,IgG
circNRIP1,Gastric carcinoma,Human,microRNA-138-5p,,5-Fluorouracil,
Circ_0025033,Ovarian cancer,Human,miR-330-5p,,KLK4,MILLIPORE
hsa_circ_0136666,Osteosarcoma,Human,miR-593-3p,,ZEB2,
hsa_circ_0001946,Cholangiocarcinoma,Human,miR-641,,"AKT3, mTOR",
hsa_circ_0008285,Colorectal cancer,Human,miR-382-5p,,PTEN,
circABCB10,Lung cancer,Human,miR-584-5p,,E2F5,
hsa_circ_0113689,Osteogenesis,Human,,,,"IgG ,Ago2,"
circMDM2,Oral squamous cell carcinoma,Human,miR-532-3p,,HK2,
hsa_circ_0000284,Renal carcinoma,Human,miR-637,,,
circKIF4A,Breast cancer,Human,miR-152,,ZEB1,
hsa_circ_0005075,Cervical cancer,Human,miR‑432,,ERK,
circ-Rtn4,Osteoporosis,Human,miR-146a,,BMSCs,
hsa_circ_0049613,Hepatocellular carcinoma,Human,miR-1299,,CTNND1,
circ5615,Colorectal cancer,Human,miR-149-5p,,TNKS,
hsa_circ_0039388,Essential hypertension,Human,miR-637,,WNT3,
CircITCH,Doxorubicin-Induced cardiotoxicity ,Human,miR-330-5p,,"SIRT6, Survivin, and SERCA2a",Ago2 
circ_0000337,Osteosarcoma,Human,miR-4458,,BACH1,
hsa_circ_0001368,Pituitary adenoma,Human,,,GHPA,
hsa-circ-000684,Gastric cancer,Human,microRNA-186,,ZEB1,
hsa_circ_0000944,Gastric cancer,Human,miR-6792-3p,,CAV1,
circ9119,Cervical cancer,Human,miR-126,,MDM4,
hsa-circ-0014359,Glioma,Human,miR-153,,PI3K,
circ_0020710,Melanoma,Human,miR-370-3p,,CXCL12,AGO2
circWHSC1,Endometrial cancer,Human,miR-646,,NPM1,
hsa_circ_0017639,Gastric cancer,Human,miR-224-5p,,USP3,
hsa_circ_0009065,Pancreatic ductal adenocarcinoma,Human,miR-34b-5p,,MET/Akt,
hsa-circ-0072309,Renal carcinoma,Human,miR-100,,PI3K/AKT,
Circ_0067934,Laryngeal squamous cell cancer,Human,miR-1324,,,
hsa_circ_0021086,Aortic valve calcification,Human,miR-204-5p,,DPP4,
hsa_circ_0002018,Breast cancer,Human,miR-658,,UPK1A,
hsa_circRNA_0056616,Lung adenocarcinoma,Human,,,CXCR4,
hsa_circ_0007158,Intervertebral disc degeneration,Human,miR-583,,BTRC,AGO2
hsa_circ_0086375,Pancreatic cancer,Human,miR-486-5p,,PIK3R1/VEGF-C,
circ-0000745,Acute lymphoblastic leukemia,Human,,,ERK1/2,
circ-USP36,Atherosclerosis,Human,miR-98-5p,,VCAM1,AGO2
circ-USP36,Atherosclerosis,Human,miR-98-5p,,VCAM1,AGO2
circRNA_001287,Renal cell carcinoma,Human,miR-144,,CEP55,
Circular RNA 100146,Colorectal cancer,Human,miR-149,,HMGA2,
Circ-UBR1,Breast cancer,Human,miR-1299,,CCND1,IgG
circGSK3B,Hepatocellular carcinoma,Human,miR-1265,,CAB39,AGO2
hsa_circ_0000658,Osteosarcoma,Human,miR-1227,,IRF2,
circXPO1,Lung adenocarcinoma,Human,,,XPO1,
hsa_circRNA_103809,Lung cancer,Human,miR-377-3p,,GOT1,
Circ-PRMT5,Breast cancer,Human,miR-509-3p,,"TCF7L2, PI3K, AKT ",
hsa_circ_0005114,Glioma,Human,"miR-142-3p, miR-590-5p",,,
circ_0002483,Acute myeloid leukemia,Human,miR-758-3p,,MYC,
circ_ASAP2,Gastric cancer,Human,miR-770-5p,,CDK6,
Circ_0025033,Ovarian cancer,Human,miR-184,,LSM4,
Circ0120816,Esophageal squamous cell carcinoma,Human,miR-1305,,TXNRD1,AGO2
hsa_circ_0014235,Lung cancer,Human,miR-520a-5p,,CDK4,
CircSMYD4,Hepatocellular carcinoma,Human,miR-584-5p,,,
Circ_0015756,Ovarian cancer,Human,miR-942-5p,,CUL4B,AGO2
Circ-EEF2,Epithelial ovarian cancer,Human,mir-6881-3p,,ANXA2,
circPLK1,Breast cancer,Human,miR-4500,,IGF1,
CircADAMTS6,Chondrocyte apoptosis,Human,miR-431-5p,,interleukin-1β,
Circ_0003998,Hepatocellular carcinoma,Human,miR-218-5p,,EIF5A2,
hsa_circ_0001829,Gastric cancer,Human,miR-155-5p,,SMAD2,
CircCDKN2B-AS1,Cervical cancer,Human,,,IMP3,
CircLRRK1,Preeclampsia,Human,miR-223-3p,,PI3K/AKT,
hsa_circRNA_104348,Hepatocellular carcinoma,Human,miR-187-3p,,"RTKN2 ,Wnt/β-catenin","AGO2, IgG"
circEYA1,Cervical adenocarcinoma,Human,miR-582-3p,,CXCL14,AGO2
circRASGRF2,Hepatocellular carcinoma,Human,miR-1224,,FAK,AGO2
Circ-03955,Osteosarcoma,Human,miR-3662,,Metadherin,
Circ_100984,Bladder cancer,Human,miR-432-3p,,"c-Jun, YBX-1, β-catenin",
CircRNA_0000392,Colorectal cancer,Human,miR-193a-5p,,"PIK3R3, AKT",AGO2
hsa_circ_0008003,Non-small cell lung cancer,Human,miR-488,,ZNF281,AGO2
CircDUSP16,Esophageal squamous cell carcinoma,Human,miR-497-5p,,TKTL1,
Circular RNA 0001313,Non-small cell lung cancer,Human,microRNA-452,,"HMGB3, ERK, MAPK",AGO2
hsa_circ_0001766,Oral squamous cell carcinoma,Human,miR-877-3p,,VEGFA,
CircASH2L,Ovarian cancer,Human,miR-665,,VEGFA,
circ_SETD2,Breast cancer,Human,miR-155-5p,,SCUBE2,
hsa_circ_0007121,Preeclampsia,Human,miR-182-5p,,PGF,
circ_0000034,Retinoblastoma,Human,miR-361-3p,,STX17,
hsa_circ_0004050,Non-small cell lung cancer,Human,,,"ERK, JNK",
Circ-CCS,Lung cancer,Human,miR-383,,E2F7,AGO2
CircRNA-SORE,Hepatocellular carcinoma,Human,,,YBX1,
Hsa_circ_0046263,Non-small cell lung cancer,Human,Mir-940,,NOVA2,"AGO2, IgG"
circ-PRKDC,Colorectal cancer,Human,miR-198,,DDR1,"AGO2, IgG"
circPVT1,Hepatocellular carcinoma,Human,miR-377,,TRIM23,AGO2
circ_DROSHA,Temporal lobe epilepsy,Human,miR-106b-5p,,MEF2C,"AGO2, IgG"
CircASPH,Polycystic ovary syndrome,Human,miR-375,,MAP2K6,
circ-ARL3,Hepatitis B,Human,miR-1305,,circ-ARL3,
circPHIP,Oral squamous cell carcinoma,Human,miR-142-5p,,PHIP-ACTN4,AGO2
hsa_circ_0000714,Ovarian cancer,Human,miR-370-3p,,RAB17,
circBICD2,Oral squamous cell carcinoma,Human,miR-149-5p,,IGF2BP1,
CircRNA-100284,Bladder cancer,Human,microRNA-217,,HSP70,
Circ_0001247,Cervical cancer,Human,miR-1270,,ZEB2,
Circ_PGPEP1,Gastric cancer,Human,miR-1297,,E2F3,IgG
Circular PVT1,Ovarian cancer,Human,miR-149-5p,,FOXM1,
CircDLC1,Hepatocellular carcinoma,Human,,,MMP1,"AGO2, IgG"
circ-ZDHHC5,Esophageal squamous cell carcinoma,Human,miR-217,,ZEB1,AGO2
Circ_0061012,Psoriasis,Human,miR-194-5p,,GAB1,"AGO2, IgG"
CircNOL10,Breast cancer,Human,miR-767-5p,,"SOCS2, JAK, STAT","AGO2, IgG"
circLMO7,Gastric cancer,Human,microRNA-30a-3p,,WNT2,
circRBM33,Cervical cancer,Human,miR-758-3p,,PUM2,IgG
circHIPK3,Cardiac hypertrophy,Human,miR-185-3p,,CaSR,
Circ-DNMT1,Breast cancer,Human,miR-485-3p,,zinc finger E-box binding homeobox 1,
circ_0061395,Hepatocellular carcinoma,Human,MiR-877-5p,,PIK3R3,AGO2
circ-CCDC66 ,Cervical cancer,Human,miR-452-5p,,REXO1,"AGO2, IgG"
Circ_0001175,Hepatocellular carcinoma,Human,miR-130a-5p,,SNX5,
circGSE1,Cervical cancer,Human,miR-138-5p,,Vimentin,AGO2
CircSKA3,Medulloblastoma,Human,miR-383-5p,,FOXM1,
circ_101341,Clear cell renal cell carcinoma,Human,miR-411,,EGLN3,AGO2
CircWHSC1 ,Hepatocellular carcinoma,Human,miR-142-3p,,HOXA1,
Circ-FOXM1,Non-small cell lung cancer,Human,miR-149-5p,,ATG5,
CircPIP5K1A,Glioma,Human,miR-515-5p,,"TCF12, PI3K, AKT",AGO2
circ-TRPS1,Prostate cancer,Human,miR-124-3p,,EZH2,
circCSNK1G1,Osteoarthritis,Human,miR‑4428,,FUT2,
circHIPK3,Osteosarcoma,Human,miR‑637,,HDAC4,
hsa_circ_0044516,Gastric cancer,Human,miR-149-5p,,HuR,AGO2
hsa_circ_0003391,Alzheimer's disease,Human,,miR-574-5p,,
hsa_circ_0000735,Bladder cancer,Human,miR-502-5p,,PD-L1,
circARNT2,Hepatocellular carcinoma,Human,miR-155-5p,,PDK1,AGO2
circ-DCUN1D4,Lung adenocarcinoma,Human,,,,AGO2
CircRNA_000864,Pancreatic cancer,Human,miR-361-3p,,BTG2,
CircRNA_25487,Trauma-induced osteonecrosis of femoral head,Human,miR-134-3p,,p21,
hsa_circ_0068888,Acute kidney injury,Human,miR-21–5p,,,
circPTPN22,Gastric cancer,Human,,has_miR_665,,
hsa_circ_0005795,Basal cell carcinoma,Human,miR-1231,,,
circZFR,Hepatocellular carcinoma,Human,miR-375,,HMGA2,AGO2
circ_ITCH,Hepatocellular carcinoma,Human,miR-421,,CPEB3,
hsa_circ_0081001,Osteosarcoma,Human,miR-494-3p,,TGM2,
hsa_circ_0123190,Lupus nephritis,Human,hsa-miR-483-3p,,APLNR,
hsa_circ_0005273,Breast cancer,Human,miR-200a-3p,,YAP1,AGO2
circ_0000231,Atherosclerosis,Human,miR-135a-5p,,CLIC4,
hsa_circ_0030018,Glioma,Human,miR-1297,,RAB21,
circ_0006404,Prostate cancer,Human,miR-1299,,CFL2,AGO2
circ_0007444,Ovarian cancer,Human,miR-570-3p,,PTEN,"AGO2, IgG"
circ_0020123,Non-small cell lung cancer,Human,miR-384,,TRIM44,
circPCNX,Cervical carcinoma,Human,,,AUF1,AUF1
circPVT1,Gastric cancer,Human,miR-152-3p,,,
hsa_circ_0043278,Breast cancer,Human,,"miR-103a-2-5p, miR-302b-3p, miR-302c-3p, miR-455-3p, and miR-520d-3p",,
hsa_circ_0004104,Gastric cancer,Human,miR-539-3p,,RNF2,
circNEK9,Gastric cancer,Human,miR-409-3p,,MAP7,
circPVT1,Clear cell renal cell carcinoma,Human,miR-145-5p,,TBX15,
circ_SMAD4,Gastric cancer,Human,miR-1276,,TCF4,AGO2
circZNF609,Lung cancer,Human,miR-142-3p,,GNB2,AGO2
circSDHC,Renal cell carcinoma,Human,miR-127-3p,,"CDKN3, E2F1",
circFANCA,Sepsis,Human,miR-93-5p,,OXSR1,"AGO2, IgG"
circEIF6,Pancreatic cancer,Human,miR-557,,"SLC7A11, PI3K, AKT",
hsa_circ_0000554,Esophageal cancer,Human,miR-485-5p,,FERMT1,
CircPUM1,Clear cell renal cell carcinoma,Human,miR-340-5p,,FABP7,AGO2
circ_0008274,Papillary thyroid carcinoma,Human,miR-154-3p,,SLC7A11,
hsa_circ_0001073,Lung cancer,Human,miR-626,,LIFR,
circRUNX1,Papillary thyroid carcinoma,Human,miR-296-3p,,DDHD2,AGO2
circNINL,Breast cancer,Human,miR-921,,ADAM9,
circGFRA1,Breast cancer,Human,miR-361-5p,,,
CircCAMSAP1,Hepatocellular carcinoma,Human,miR-1294,,,AGO2
Hsa_circ_0006571,Lung adenocarcinoma,Human,microRNA-138,,,
circNOLC1,Prostate cancer,Human,miR-647,,PAQR4,
Hsa_circ_0010235,Non-small cell lung cancer,Human,miR-433-3p,,TIPRL,AGO2
Circ_0081146,Gastric cancer,Human,miR-144,,HMGB1,
circ-ITCH,Gastric cancer,Human,,,Klotho,
circFLNA,Lung cancer,Human,miR-486-3p,,"XRCC1, CYP1A1",
CircSKA3,Glioblastoma,Human,miR-1,,,
CircRNA_141539,Esophageal squamous cell carcinoma,Human,miR-4469,,CDK3,
Circ_0105346,Osteosarcoma,Human,miR-1182,,WNT7B,AGO2
circ-ERBB2,Lung cancer,Human,miR-7-5p,,FOXM1,
CircMTO1,Osteosarcoma,Human,miR-630,,KLF6,
hsa_circ_0071036,Pancreatic cancer,Human,miR-489,,,
Circ_0003998,Non-small cell lung cancer,Human,miR-136-5p,,CORO1C,"AGO2, IgG"
circAKT3,Esophageal cancer,Human,miR-17-5p,,,
circPHC3,Ischemic stroke,Human,miR-455-5p,,TRAF3,AGO2
circSEC24A,Cutaneous squamous cell carcinoma,Human,miR-1193,,MAP3K9,AGO2
circGLIS3,Lung cancer,Human,miR-644a,,PTBP1,
circPARP4,Glioma,Human,miRNA-125a-5p,,FUT4,AGO2
Circ0083429,Osteoarthritis,Human,Mir-346,,SMAD3,AGO2
circ_0089153,Ameloblastoma,Human,miR-608,,"EGFR, p53",
CircTM7SF3,Atherosclerosis,Human,miR-206,,ASPH,
CircNR3C2,Breast cancer,Human,miR-513a-3p,,HRD1,
hsa_circ_0009172,Gastric cancer,Human,miR-485-3p,,NTRK3,
circCDYL,Lung cancer,Human,miR-185-5p,,TNRC6A,
Circ_0035483,Renal cell carcinoma,Human,MiR-31-5p,,HMGA1,"AGO2, IgG"
Circ_0031242,Hepatoma,Human,miR-924,,OU3F2,
circEPSTI1,Cervical cancer,Human,miR-375/409-3P/515-5p,,SLC7A11,"AGO2, IgG"
Hsa_circ_0025202,Breast cancer,Human,miR-197-3p,,HIPK3,AGO2
Circ‑TOP2A,Glioma,Human,miR‑346,,SUSD2,
CircRNA_0000429,Non-small cell lung cancer,Human,miR-1197,,MADD,AGO2
circEHBP1,Bladder cancer,Human,miR-130a-3p,,"TGFβR1, VEGF-D",
circANKIB1,Osteosarcoma,Human,miR-217,,PAX3,
hsa_circ_0007534,Osteosarcoma,Human,miR-219a-5p,,SOX5,
circ_NOTCH3,Breast Carcinoma,Human,miR-205-5p,,KLF12,
circANKS1B,Prostate cancer,Human,miR-152-3p,,TGF-α,
hsa_circ_0000735,Non-small cell lung cancer,Human,miR-635,,FAM83F,
circHECTD1,Glioma,Human,miR-296-3p,,SLC10A7,"AGO2, IgG"
circRNA_000684,Pancreatic ductal adenocarcinoma,Human,miR-145,,KLF5,"AGO2, IgG"
circST6GALNAC6,Bladder cancer,Human,miR-200a-3p,,"STMN1, EMT",
Circ-AASDH,Lung adenocarcinoma,Human,miR-140-3p,,E2F7,
circ_PIP5K1A,Non-small cell lung cancer,Human,miR-101,,ABCC1,
CircRNA ZNF609,Non-small cell lung cancer,Human,miR-623,,FOXM1,
CircUSP36,Atherosclerosis,Human,miR-20a-5p,,ROCK2,"AGO2, IgG"
Circ_0119872,Uveal melanoma,Human,miR-622,,G3BP1,
circARPP21,Hepatocellular carcinoma,Human,miR-543,,LIFR,
circ-PGAP3,Cervical cancer,Human,miR-769-5p,,p53,
circ_0115744,Colorectal cancer,Human,miR-144,,EZH2,IgG
Circ_0004872,Atherosclerosis,Human,miR-513a-5p,,TXNIP,"AGO2, IgG"
CDR1as,Pancreatic cancer,Human,miR-432-5p,,E2F3,
circ_0014717,Hepatocellular carcinoma,Human,miR-668-3p,,BTG2,
circular RNA Ttc3,Kidney injury,Human,miR-148a,,Rcan2,"AGO2, IgG"
circYY1,Breast cancer,Human,miR-769-3p,,YY1,"AGO3, IgG"
Circ_0056285,Osteosarcoma,Human,miR-1244,,TRIM44,AGO4
CircGDI2,Oral squamous cell carcinoma,Human,miR-454-3p,,FOXF2,
circFOXM1,Hepatocellular carcinoma,Human,miR-1324,,MECP2,
circPSD3,Hepatocellular carcinoma,Human,miR-92b-3p,,Smad7,
circRBPMS,Bladder cancer,Human,miR-330-3p,,RAI2,"IgG, AGO2"
circSETDB1,Lung adenocarcinoma,Human,miR-7,,Sp1,AGO2
circEIF4G2,Diabetic nephropathy,Human,miR-218,,SERBP1,
CircAGAP1,Clear cell renal cell carcinoma,Human,miR-15-5p,,E2F3,
circVAPA,Non-small cell lung cancer,Human,miR-876-5p,,WNT5A,
hsa_circ_0002137,Osteosarcoma,Human,miR-433-3p,,IGF1R,
circular RNA_0004674,Oral squamous cell carcinoma,Human,microRNA-377-3p,,THBS1,AGO2
hsa_circ_0003489,Multiple myeloma,Human,miR-874-3p,,HDAC1,
circDNM3OS,Cholangiocarcinoma,Human,miR-145-5p,,MORC2,"IgG, AGO2"
Circ_0006174,Colorectal cancer,Human,miR-138-5p,,MACC1,"IgG, AGO2"
Circ_0000527,Retinoblastoma,Human,miR-98-5p,,XIAP,
circ_0006948,Esophageal carcinoma,Human,miR-4262,,FNDC3B,
CircKIF2A,Neuroblastoma,Human,miR-129-5p,,PLK4,
CircMMP11,Breast cancer,Human,miR-625-5p,,ZEB2,
Circ_0020123,Non-small cell lung cancer,Human,miR-142-3p,,ZFX,"AGO2, IgG"
CircRNA_PDHX,Prostate cancer,Human,MiR-378a-3p,,IGF1R,AGO2
circRAD23B,Colorectal cancer,Human,miR-1205,,TRIM44,
circPDE5A,Neuroblastoma,Human,miR-362-5p,,NOL4L,
circPKNOX1,Intervertebral disc disease,Human,miR-370-3p,,KIAA0355,
circRAB11FIP1,Ovarian cancer,Human,miR-129,,DSC1,
circCTNNA1,Colorectal cancer,Human,miR-363-3p,,CXCL5,"AGO2, IgG"
circVAPA,Gastric cancer,Human,miR-125b-5p,,STAT3,
circRNA-FoxO1,Myopia,Human,miR-145,,"VEGFA, ANGPT2",
CircWAC,Triple negative breast cancer,Human,miR-142,,"PI3K, AKT","AGO2, IgG"
hsa_circ_0006859,Postmenopausal osteoporosis,Human,miR-431-5p,,ROCK1,
circ_0079593,Malignant melanoma,Human,miR-573,,ABHD2,Ago2
circ_0000003,Tongue squamous cell carcinoma,Human,miR-330-3p,,GLS,AGO2
circ_0000511,Breast cancer,Human,miR-326,,TAZ,
circ-0000212,Colorectal cancer,Human,miR-491,,FOXP4,AGO2
circRNA-0006896,Atherosclerosis,Human,miR1264,,DNMT1,
circBRAF,Glioma,Human,miR-1290,,FBXW7,"AGO2, IgG"
circUBAP2,Osteosarcoma,Human,miR-204-3p,,HMGA2,"AGO2, IgG"
circ-AFF2,Rheumatoid arthritis,Human,miR-650,,CNP,AGO2
circSPATA6,Oral squamous cell carcinoma,Human,miR-182,,TRAF6,AGO2
circCLK3,Tongue squamous cell carcinoma,Human,miR-455-5p,,PARVA,AGO2
circCUX1,Neuroblastoma,Human,miR-338-3p,,PHF20,"AGO2, IgG"
circGLIS3,Bladder cancer,Human,miR-1273f,,"SKP1, Cyclin D1",
circROBO2,Acute myocardial infarction,Human,miR-1184,,TRADD,"AGO2, IgG"
circSOX4,Hepatocellular carcinoma,Human,microRNA-432,,,
circPRKCI,Lung adenocarcinoma,Human,miR-219a-5p,,CAMK1D,
circ_0008928,Non-small cell lung cancer,Human,miR-488,,HK2,"AGO2, IgG"
circCSPP1,Colorectal cancer,Human,miR-944,,FZD7,"AGO2,IgG"
circ-LAMP1,Cholangiocarcinoma,Human,"miR-556-5p, miR-567",,YY1,AGO2
circ-IQGAP1,Osteoarthritis,Human,miR-671-5p,,TCF4,"AGO2, IgG"
circ-NOTCH1,Nasopharyngeal carcinoma,Human,miR-34c-5p,,cMyc,
circ_0021093,Hepatocellular carcinoma,Human,miR-432,,ANXA2,
hsa_circ_0099198,Retinoblastoma,Human,miR-1287,,LRP6,AGO2
circRNA_0000094,T cell acute lymphoblastic leukemia,Human,miR-223-3p,,FBW7,"AGO2, IgG"
circHIPK3,Gastric cancer,Human,miR-637,,AKT1,
circPostn,Myocardial injury,Human,miR-96-5p,,BNIP3,
circ-PRKCA,Non-small cell lung cancer,Human,miR-384,,ITGB1,
circ_0000467,Colorectal cancer,Human,miR-382-5p,,EN2,"AGO2, IgG"
circTP63,Hepatocellular carcinoma,Human,miR-155-5p,,ZBTB18,
circ_DOCK1,Colorectal cancer,Human,miR-132-3p,,USP11,AGO2
circRHOT1,Breast cancer,Human,mir-106a-5p,,STAT3,
circ_0074027,Non-small cell lung cancer,Human,miR-2467-3p,,RHOA,
hsa_circ_000425,Colorectal cancer,Human,"miR-17, miR-106b",,,
hsa_circ_0131235,Alzheimer's disease,Human,,,IGFR2,
circTRAPPC6B,Tuberculosis,Human,microRNA-874-3p,,ATG16L1,
circMAP2K4,Hepatocellular carcinoma,Human,miR-139-5p,,YTHDF1,
circ_0085289,Periodontitis,Human,miR-NC,,"let-7f-5p, SOCS6",AGO2
circ-RNF13,Hepatocellular carcinoma,Human,miR-424-5p,,TGIF2,IgG
circHIF1A,Triple negative breast cancer,Human,miR-149-5p,,NFIB,AGO2
circ-KIAA0907,Oral squamous cell carcinoma,Human,miR-96-5p,,UNC13C,"AGO2, IgG"
circ-PRKCI,Papillary thyroid carcinoma,Human,miR-335,,E2F3,AGO2
circ_0057558,Prostate cancer,Human,miR-206,,USP33,AGO2
circ_0003420,Sepsis-induced liver damage,Human,,,NPAS4,
circAFF2,Gastric cancer,Human,miR-6894-5p,,ANTXR 1,
circ_0000338,Colorectal cancer,Human,"miR-217, miR-485-3p",,,
circ-PITX1,Non-small cell lung cancer,Human,miR-1248,,CCND2,AGO2
circRNA_101996 ,Cervical cancer,Human,miR-1236-3p,,TRIM37,
hsa_circ_0002162,Tongue squamous cell carcinoma,Human,miR-33a-5p,,,
circFAM73A,Gastric cancer,Human,miR-490-3p,,HMGA2,
hsa_circ_0015326,Ovarian cancer,Human,miR-127-3p ,,MYB,
circ_0005927,Colorectal cancer,Human,miR-942-5p,,BATF2,
circ-ZNF609,Cervical cancer,Human,miR-197-3p,,E2F6,
circ_0006892,Chronic obstructive pulmonary disease,Human,miR-24,,PHLPP2,
circ_0000326,Cervical cancer,Human,microRNA-338-3p,,CDK4,
circ_CELSR1,Ovarian cancer,Human,miR-149-5p,,SIK2,
circ_0005774,Acute myeloid leukemia,Human,miR-192-5p,,ULK1,
Circ-HIPK3,Oral squamous cell carcinoma,Human,miR-381-3p,,YAP1,
circVRK1,Preeclampsia,Human,miR-221-3p,,PTEN ,
CircSPI1,Acute myeloid leukemia,Human,"miR-1307-3p, miR-382-5p, and miR-767-5p",, SPI1,
circSMARCA5,Colon cancer,Human,microRNA-552,,SW480,
CircNEIL3,Pancreatic ductal adenocarcinoma,Human,miR-432-5p,,ADAR1,
circSEC24A,Osteoarthritis,Human,miR-142-5p,,SOX5,
Circ_0023028,Laryngeal squamous cell carcinoma,Human,miR-486-3p,,LASP1,
cirRNA_0074027,Colorectal cancer,Human,miR‑525‑3p,,,
circ‑CCT3,Hepatocellular carcinoma,Human,miR‑1287‑5p,,TEAD1,
circ‑ABCB10,Epithelial ovarian cancer,Human,miR‑1271,,Capn4,
hsa_circ_0001666,Papillary thyroid carcinoma,Human,"miR‑330‑5p, miR‑193a‑5p and miR‑326",,ETV4,
circPITX1,Glioblastoma,Human,miR-584-5p,,KPNB1,
circSETD3,Lung cancer,Human,miR-520h,,ABCG2,
circRNA PPP1CC,Atherosclerosis,Human,miR-103a-3p， miR-107,,HMGB1,
circRUNX1,Colorectal cancer,Human,miR-485-5p,,SLC38A1,
Circ_HIPK3,Spinal cord injury,Human,miR-222-3p,,DUSP19,
Circ-KRT6C,Colorectal cancer,Human,miR-485-3p,,PDL1,
circ-SKA3,Medulloblastoma,Human,miR-326,,ID3,
circ-ASPH,Glioma,Human,miR-599,,AR/SOCS2-AS1,
CircCHST15,Lung cancer,Human,"miR-155-5p,miR-194-5p",,PD-L1,
circKLHL24,Breast cancer,Human,miR-1204,,ALX4,
hsa_circ_0009035,Cervical cancer,Human,miR-889-3p,,HOXB7,
hsa_circ_0005397,Hepatocellular carcinoma,Human,miR-326,,PDK2,
circEXOC7,Renal cell carcinoma,Human,miR-149-3p,,CSF1,
circSOBP,Prostate cancer,Human,miR-141-3p,,"MYPT1, p-MLC2",
hsa_circ_0032463,Osteosarcoma,Human,miR‑330‑3p,,PNN,
hsa_circ_0008035,Bladder cancer,Human,hsa-miR-107,,MSRB3,
